model,loss,accuracy,f1,auc,val_loss,val_accuracy,val_f1,val_auc,params,params_mb,mult_ads_gflops,pass_size_mb,total_pass_size_mb,test_batch_size
0.8-SqNxt-17.pth,0.3575,85.185,0.86494,0.9479,0.155,94.271,0.94279,0.98661,348022,0.95,18.6,3351.6,3448.5,128
1.0-SqNxt-15.pth,0.43043,84.928,0.86202,0.95032,0.14233,95.354,0.95362,0.98989,276433,0.91,25.7,3824.6,3921.5,128
1.0-SqNxt-17.pth,0.52064,85.505,0.86738,0.95521,0.09656,96.606,0.96616,0.9949,288481,0.95,27.9,4341.7,4438.7,128
1.2-SqNxt-20.pth,0.46883,86.393,0.87689,0.95977,0.12763,96.107,0.96116,0.9923,474593,1.6,41.9,5864.3,5961.9,128
1.4-SqNxt-18.pth,0.51017,84.525,0.85708,0.95227,0.11148,96.051,0.96061,0.99358,1536162,4.72,50.7,5192.1,5292.8,128
2.6-SqNxt-20.pth,0.58686,87.776,0.89114,0.94616,0.09308,96.825,0.96834,0.99555,5546447,17.23,170.7,10806.3,10919.5,128
ResNet-18.pth,0.29705,90.312,0.91712,0.98142,0.08534,97.324,0.97334,0.99639,11690025,42.64,282.4,3168.0,3306.6,128
ResNet-18pre.pth,0.29383,88.939,0.90325,0.96315,0.08218,96.924,0.96931,0.99742,11690025,42.64,282.4,3168.0,3306.6,128
ResNet-34pre_nogit.pth,0.46238,87.199,0.8846,0.97266,0.05314,98.214,0.98224,0.99826,21798185,81.2,570.4,4768.0,4945.2,128
ResNet-50pre_nogit.pth,0.51507,87.135,0.88422,0.95932,0.05762,97.844,0.97854,0.99793,25559081,89.68,636.4,14176.0,14361.7,128
ResNet-50_nogit.pth,0.29958,89.9,0.91287,0.97842,0.07499,97.522,0.97532,0.99676,25559081,89.68,636.4,14176.0,14361.7,128
ViT-4-12-512-1024_nogit.pth,0.55986,69.527,0.70619,0.7824,0.52846,73.22,0.73206,0.81186,12082177,46.09,1.4,1072.0,1214.1,128
